model,config,sarcasm,wit,cynicism,exaggeration,meta,n
llama,base,0.1,0.9,0.4,0.2,1.2,9
llama,full,8.9,8.1,7.3,7.9,5.2,9
llama,0-20,5.4,5.3,4.3,4.3,2.9,9
llama,20-40,4.3,4.4,3.4,3.4,3.3,9
llama,40-60,2.1,2.8,1.8,1.7,2.8,9
llama,60-80,0.7,1.6,1.1,1.0,1.3,9
llama,80-100,0.3,1.0,0.7,0.4,1.3,9
gemma,base,0.7,2.8,1.2,1.0,0.8,9
gemma,full,9.0,7.3,8.0,7.3,6.0,9
gemma,0-20,1.2,3.0,1.5,1.3,2.5,9
gemma,20-40,2.8,4.0,3.0,2.7,2.5,9
gemma,40-60,5.5,6.2,4.0,5.0,2.8,9
gemma,60-80,2.2,3.8,1.8,1.7,1.0,9
gemma,80-100,2.0,3.5,1.5,1.7,1.0,9
