model,dim1,dim2,pearson_r
gemma,sarcasm,wit,0.852
gemma,sarcasm,cynicism,0.896
gemma,sarcasm,exaggeration,0.837
gemma,sarcasm,meta,0.521
gemma,wit,cynicism,0.675
gemma,wit,exaggeration,0.808
gemma,wit,meta,0.453
gemma,cynicism,exaggeration,0.794
gemma,cynicism,meta,0.414
gemma,exaggeration,meta,0.371
llama,sarcasm,wit,0.88
llama,sarcasm,cynicism,0.863
llama,sarcasm,exaggeration,0.842
llama,sarcasm,meta,0.316
llama,wit,cynicism,0.707
llama,wit,exaggeration,0.886
llama,wit,meta,0.332
llama,cynicism,exaggeration,0.769
llama,cynicism,meta,0.191
llama,exaggeration,meta,0.129
qwen,sarcasm,wit,0.895
qwen,sarcasm,cynicism,0.89
qwen,sarcasm,exaggeration,0.931
qwen,sarcasm,meta,0.404
qwen,wit,cynicism,0.744
qwen,wit,exaggeration,0.904
qwen,wit,meta,0.342
qwen,cynicism,exaggeration,0.841
qwen,cynicism,meta,0.234
qwen,exaggeration,meta,0.294
